annee,topic,mot,poids
2003.0,3,directive,0.0056896633
2003.0,3,report,0.004643661
2003.0,3,council,0.0046368414
2003.0,3,committee,0.0046011372
2003.0,3,president,0.004180656
2003.0,3,waste,0.0041426844
2003.0,4,environment,0.002956934
2003.0,4,energy,0.0020471038
2003.0,4,environmental,0.0016381885
2003.0,4,sustainable,0.0010576309
2003.0,4,policy,0.0009988276
2003.0,4,directive,0.0009271723
2003.0,4,development,0.0008443026
2003.0,4,protection,0.0008092222
2003.0,4,proposal,0.000713914
2003.0,4,social,0.0007035499
2003.0,5,environment,0.017650198
2003.0,5,environmental,0.015126296
2003.0,5,energy,0.013735088
2003.0,5,sustainable,0.0087891705
2003.0,5,development,0.008235383
2003.0,5,policy,0.0067993156
2003.0,5,directive,0.0059409244
2003.0,5,social,0.0057675075
2003.0,5,committee,0.005619562
2003.0,5,protection,0.005384723
2004.0,0,environment,0.012444551
2004.0,0,environmental,0.009990165
2004.0,0,waste,0.009268585
2004.0,0,energy,0.008555537
2004.0,0,sustainable,0.0075487862
2004.0,0,committee,0.0069767195
2004.0,0,health,0.006184351
2004.0,0,policy,0.005585412
2004.0,0,development,0.0055532055
2004.0,0,public,0.0048434436
2004.0,1,environment,0.024655983
2004.0,1,environmental,0.012572013
2004.0,1,protection,0.009727341
2004.0,1,energy,0.007956976
2004.0,1,sustainable,0.0077638766
2004.0,1,waste,0.0066350596
2004.0,1,development,0.00604811
2004.0,1,directive,0.005586792
2004.0,1,health,0.005484639
2004.0,1,economic,0.005281381
2004.0,2,attract,0.0017852886
2004.0,2,edge,0.0010238433
2004.0,2,specificities,0.001023324
2004.0,2,tailor,0.0010231677
2004.0,2,definitely,0.00075394864
2004.0,2,characteristics,0.0006994339
2004.0,2,environmental,0.0006872001
2004.0,2,sustainable,0.00064472837
2004.0,2,aspect,0.0006123994
2004.0,2,environment,0.00058184116
2004.0,3,environmental,0.013052706
2004.0,3,energy,0.012175498
2004.0,3,social,0.0074849697
2004.0,3,environment,0.006633033
2004.0,3,protection,0.004884132
2004.0,3,europe,0.004710086
2004.0,3,climate,0.004247906
2004.0,3,countries,0.0038709147
2004.0,3,renewable,0.0037336694
2004.0,3,health,0.0034094986
2004.0,4,energy,0.0066818194
2004.0,4,environment,0.005227926
2004.0,4,environmental,0.002757044
2004.0,4,political,0.002064609
2004.0,4,committee,0.002026923
2004.0,4,directive,0.0019603558
2004.0,4,reforms,0.0018018577
2004.0,4,policy,0.0017734362
2004.0,4,nuclear,0.001643613
2004.0,4,committed,0.0015998359
2004.0,5,environmental,0.015619567
2004.0,5,environment,0.01526452
2004.0,5,energy,0.01322797
2004.0,5,waste,0.010007995
2004.0,5,sustainable,0.009322563
2004.0,5,development,0.006633664
2004.0,5,policy,0.006566033
2004.0,5,social,0.0061956802
2004.0,5,protection,0.0061194617
2004.0,5,health,0.0052411165
2005.0,0,energy,0.020811532
2005.0,0,environment,0.015310059
2005.0,0,environmental,0.009398453
2005.0,0,waste,0.008637345
2005.0,0,protection,0.008033143
2005.0,0,development,0.0076278863
2005.0,0,sustainable,0.0063577653
2005.0,0,directive,0.0058393995
2005.0,0,cultural,0.005313478
2005.0,0,social,0.005214312
2005.0,1,sustainable,0.0043338686
2005.0,1,pollution,0.003994742
2005.0,1,fisheries,0.0034219204
2005.0,1,sector,0.002909759
2005.0,1,environmental,0.00282272
2005.0,1,environment,0.0026076653
2005.0,1,believe,0.0024522585
2005.0,1,energy,0.0023906645
2005.0,1,efficient,0.0022844698
2005.0,1,fleet,0.002239146
2005.0,2,energy,0.0018372688
2005.0,2,environmental,0.0015654794
2005.0,2,environment,0.0014674464
2005.0,2,sustainable,0.0008928962
2005.0,2,protection,0.0008212685
2005.0,2,waste,0.0006516283
2005.0,2,social,0.00064888457
2005.0,2,development,0.00064529607
2005.0,2,policy,0.0006270823
2005.0,2,climate,0.00062396104
2005.0,3,environment,0.012864655
2005.0,3,environmental,0.0062887953
2005.0,3,health,0.005430004
2005.0,3,energy,0.0050248867
2005.0,3,nuclear,0.0042109904
2005.0,3,sustainable,0.003931153
2005.0,3,climate,0.0037022203
2005.0,3,social,0.003560582
2005.0,3,development,0.0034679803
2005.0,3,member,0.003291336
2005.0,4,energy,0.019921368
2005.0,4,environment,0.01731993
2005.0,4,environmental,0.014920257
2005.0,4,climate,0.009373132
2005.0,4,sustainable,0.00819533
2005.0,4,development,0.008172243
