annee,type,topic,valeur
2008.0,mot_cle_eco,climate,2851.0
2008.0,mot_cle_eco,global,577.0
2008.0,mot_cle_eco,warming,185.0
2008.0,mot_cle_eco,biodiversity,241.0
2008.0,mot_cle_eco,ecosystem,37.0
2008.0,mot_cle_eco,pollution,262.0
2008.0,mot_cle_eco,sustainable,924.0
2008.0,mot_cle_eco,sustainability,316.0
2008.0,mot_cle_eco,renewable,549.0
2008.0,mot_cle_eco,energy,4678.0
2008.0,mot_cle_eco,carbon,503.0
2008.0,mot_cle_eco,greenhouse,337.0
2008.0,mot_cle_eco,emissions,1250.0
2008.0,mot_cle_eco,ecological,145.0
2008.0,mot_cle_eco,atmospheric,5.0
2008.0,mot_cle_eco,ozone,4.0
2008.0,mot_cle_eco,waste,699.0
2009.0,topic_weight,0,15.168087005615234
2009.0,topic_weight,1,8.826164245605469
2009.0,topic_weight,2,0.04240874946117401
2009.0,topic_weight,3,0.0
2009.0,topic_weight,4,2.925529956817627
2009.0,topic_weight,5,0.0
2009.0,nb_topics_actifs,,3.0
2009.0,mot_cle_eco,environment,1000.0
2009.0,mot_cle_eco,environmental,843.0
2009.0,mot_cle_eco,climate,2023.0
2009.0,mot_cle_eco,global,433.0
2009.0,mot_cle_eco,warming,133.0
2009.0,mot_cle_eco,biodiversity,77.0
2009.0,mot_cle_eco,ecosystem,18.0
2009.0,mot_cle_eco,pollution,166.0
2009.0,mot_cle_eco,sustainable,758.0
2009.0,mot_cle_eco,sustainability,167.0
2009.0,mot_cle_eco,renewable,308.0
2009.0,mot_cle_eco,energy,4095.0
2009.0,mot_cle_eco,carbon,304.0
2009.0,mot_cle_eco,greenhouse,179.0
2009.0,mot_cle_eco,emissions,655.0
2009.0,mot_cle_eco,ecological,81.0
2009.0,mot_cle_eco,atmospheric,1.0
2009.0,mot_cle_eco,ozone,69.0
2009.0,mot_cle_eco,waste,215.0
2010.0,topic_weight,0,21.221372604370117
2010.0,topic_weight,1,1.3958227634429932
2010.0,topic_weight,2,2.1879448890686035
2010.0,topic_weight,3,1.203343391418457
2010.0,topic_weight,4,0.0
2010.0,topic_weight,5,0.9426506757736206
2010.0,nb_topics_actifs,,4.0
2010.0,mot_cle_eco,environment,1587.0
2010.0,mot_cle_eco,environmental,1561.0
2010.0,mot_cle_eco,climate,2040.0
2010.0,mot_cle_eco,global,416.0
2010.0,mot_cle_eco,warming,120.0
2010.0,mot_cle_eco,biodiversity,832.0
