annee,pays,nb_mots,nb_mots_ecologiques
2015,GRC.txt,316634,832
2015,IRL.txt,212727,624
2015,CYP.txt,81260,432
2015,FIN.txt,49227,284
2015,ROU.txt,458711,1693
2015,BEL.txt,390419,1507
2015,FRA.txt,1281086,3219
2015,AUT.txt,186220,624
2015,BGR.txt,158853,433
2006,ITA.txt,179714,559
2006,MLT.txt,26996,40
2006,POL.txt,283519,822
2006,CZE.txt,48227,151
2006,GBR.txt,359201,921
2006,DEU.txt,561737,1640
2006,PRT.txt,191959,713
2006,SVK.txt,40737,110
2006,SVN.txt,22377,96
2006,LTU.txt,75661,261
2006,NLD.txt,155088,461
2006,DNK.txt,43747,140
2006,SWE.txt,127069,568
2006,HUN.txt,73873,298
2006,EST.txt,21276,76
2006,ESP.txt,367636,836
2006,LUX.txt,28366,239
2006,LVA.txt,18112,81
2006,GRC.txt,199327,624
2006,IRL.txt,102124,412
2006,CYP.txt,47427,73
2006,FIN.txt,71658,514
2006,BEL.txt,114405,228
2006,FRA.txt,332435,1035
2006,AUT.txt,125308,411
2023,ITA.txt,117149,390
2023,HRV.txt,77986,368
2023,MLT.txt,45421,210
2023,POL.txt,140983,434
2023,CZE.txt,47450,262
2023,DEU.txt,175461,748
2023,PRT.txt,65328,279
2023,SVK.txt,78874,331
2023,SVN.txt,44290,186
2023,LTU.txt,12396,36
2023,NLD.txt,56956,261
2023,DNK.txt,15558,87
2023,SWE.txt,84582,576
2023,HUN.txt,26498,107
2023,EST.txt,26538,69
2023,ESP.txt,177739,512
2023,LUX.txt,9023,29
2023,LVA.txt,8432,41
2023,GRC.txt,13976,74
2023,IRL.txt,172766,780
2023,CYP.txt,3862,4
2023,FIN.txt,10407,144
2023,ROU.txt,164064,739
2023,BEL.txt,67499,268
2023,FRA.txt,242340,1002
2023,AUT.txt,20438,164
2023,BGR.txt,56545,285
2002,ITA.txt,243447,489
2002,GBR.txt,450983,920
2002,DEU.txt,488987,872
2002,PRT.txt,137116,357
2002,NLD.txt,218659,739
2002,DNK.txt,88984,210
2002,SWE.txt,148338,591
2002,ESP.txt,513972,1045
2002,LUX.txt,40461,110
2002,GRC.txt,147614,354
2002,IRL.txt,176790,356
2002,FIN.txt,67790,389
2002,BEL.txt,94466,202
2002,FRA.txt,366630,803
2002,AUT.txt,95329,300
2008,ITA.txt,212943,786
2008,MLT.txt,22981,52
2008,POL.txt,457165,1949
2008,CZE.txt,69444,293
2008,GBR.txt,377119,1334
2008,DEU.txt,526969,1671
2008,PRT.txt,198796,836
2008,SVK.txt,73573,234
2008,SVN.txt,23567,102
2008,LTU.txt,72386,267
2008,NLD.txt,125101,444
2008,DNK.txt,55953,289
2008,SWE.txt,123709,735
2008,HUN.txt,99078,653
2008,EST.txt,52671,162
2008,ESP.txt,279753,887
2008,LUX.txt,36737,291
2008,LVA.txt,16456,89
2008,GRC.txt,215443,756
2008,IRL.txt,164170,540
2008,CYP.txt,38146,135
2008,FIN.txt,68038,560
2008,ROU.txt,187999,971
2008,BEL.txt,102288,312
2008,FRA.txt,318625,1183
2008,AUT.txt,109887,428
2008,BGR.txt,53829,377
2012,ITA.txt,585495,1886
2012,MLT.txt,27981,24
2012,POL.txt,304330,888
2012,CZE.txt,76806,250
2012,GBR.txt,434627,1035
2012,DEU.txt,418061,965
2012,PRT.txt,675490,2530
2012,SVK.txt,197632,756
2012,SVN.txt,27405,87
2012,LTU.txt,262103,1183
2012,NLD.txt,101018,256
2012,DNK.txt,39432,140
2012,SWE.txt,89852,377
2012,HUN.txt,134128,356
2012,EST.txt,58796,165
2012,ESP.txt,288829,828
2012,LUX.txt,35065,96
2012,LVA.txt,52142,212
2012,GRC.txt,163828,490
2012,IRL.txt,121806,262
2012,CYP.txt,22632,31
2012,FIN.txt,70213,262
2012,ROU.txt,425857,1704
2012,BEL.txt,155293,403
2012,FRA.txt,511592,1788
2012,AUT.txt,211056,540
2012,BGR.txt,86633,243
2018,ITA.txt,378284,986
2018,HRV.txt,78532,209
2018,MLT.txt,47592,92
2018,POL.txt,285724,890
2018,CZE.txt,157870,393
2018,GBR.txt,224302,511
2018,DEU.txt,493190,1102
2018,PRT.txt,137066,473
2018,SVK.txt,41452,72
2018,SVN.txt,31151,83
2018,LTU.txt,36046,77
2018,NLD.txt,103499,272
2018,DNK.txt,27923,79
2018,SWE.txt,88818,313
2018,HUN.txt,70375,202
2018,EST.txt,25124,69
2018,ESP.txt,333391,985
2018,LUX.txt,32136,96
2018,LVA.txt,26095,46
2018,GRC.txt,163280,403
2018,IRL.txt,75827,265
2018,CYP.txt,36814,80
2018,FIN.txt,49561,410
2018,ROU.txt,216524,527
2018,BEL.txt,135437,441
2018,FRA.txt,199018,648
2018,AUT.txt,75791,192
2018,BGR.txt,58517,92
2016,ITA.txt,1442500,5488
2016,HRV.txt,672232,2953
2016,MLT.txt,215556,758
2016,POL.txt,416048,1286
2016,CZE.txt,397665,1270
2016,GBR.txt,706052,1733
2016,DEU.txt,769706,1512
2016,PRT.txt,669199,2542
2016,SVK.txt,398328,1431
2016,SVN.txt,372226,1470
2016,LTU.txt,322335,1402
2016,NLD.txt,127277,236
2016,DNK.txt,39400,213
2016,SWE.txt,134051,548
